,resolver_ip,port,handshake_time,resolution_time,status
0,178.18.54.141,784,799.0,120.999,[1]
1,178.18.54.141,784,814.997,104.998,[1]
2,129.151.170.218,784,13.997,271.999,[1]
3,129.151.170.218,784,95.003,270.0,[1]
4,172.105.16.134,784,684.997,35.001,[1]
5,172.105.16.134,784,825.996,39.998,[1]
6,188.68.45.12,784,21.004,99.997,[1]
7,188.68.45.12,784,949.0,102.998,[1]
8,23.94.216.128,784,867.997,96.995,[1]
9,23.94.216.128,784,686.017,93.997,[1]
10,106.12.119.30,784,788.0,249.996,[1]
11,106.12.119.30,784,980.0,228.999,[1]
12,140.238.65.73,784,718.999,83.0,[1]
13,140.238.65.73,784,715.0,83.003,[1]
14,139.59.232.4,784,75.0,257.998,[1]
15,139.59.232.4,784,94.992,261.054,[1]
16,37.114.37.199,784,769.001,103.001,[1]
17,37.114.37.199,784,782.998,105.997,[1]
18,132.145.51.148,784,698.999,86.998,[1]
19,132.145.51.148,784,715.001,88.999,[1]
20,5.181.76.56,784,594.002,78.001,[1]
21,5.181.76.56,784,599.998,86.0,[1]
22,94.140.14.140,784,860.996,92.996,[1]
23,94.140.14.140,784,704.998,92.035,[1]
24,94.140.14.140,8853,615.998,93.04,[1]
25,94.140.14.140,8853,724.999,96.999,[1]
26,94.140.14.140,853,634.997,93.997,[1]
27,94.140.14.140,853,624.996,93.998,[1]
28,138.2.79.123,784,753.001,236.998,[1]
29,138.2.79.123,784,907.0,267.999,[1]
30,129.154.52.68,784,833.999,219.999,[1]
31,129.154.52.68,784,876.0,234.991,[1]
32,217.160.172.238,784,949.997,105.0,[1]
33,217.160.172.238,784,28.002,103.0,[1]
34,146.56.176.39,784,888.001,209.998,[1]
35,146.56.176.39,784,859.002,204.999,[1]
36,178.18.54.141,784,752.0,103.997,[1]
37,178.18.54.141,784,772.0,103.0,[1]
38,129.151.170.218,784,913.998,267.0,[1]
39,129.151.170.218,784,811.997,256.999,[1]
40,172.105.16.134,784,679.997,36.004,[1]
41,172.105.16.134,784,596.0,49.005,[1]
42,188.68.45.12,784,752.0,101.002,[1]
43,188.68.45.12,784,733.998,100.999,[1]
44,23.94.216.128,784,619.005,97.998,[1]
45,23.94.216.128,784,616.998,92.996,[1]
46,106.12.119.30,784,753.948,229.999,[1]
47,106.12.119.30,784,785.997,350.997,[1]
48,140.238.65.73,784,693.0,85.982,[1]
49,140.238.65.73,784,734.507,81.001,[1]
50,139.59.232.4,784,79.546,394.0,[1]
51,139.59.232.4,784,81.999,260.0,[1]
52,37.114.37.199,784,786.002,103.999,[1]
53,37.114.37.199,784,824.0,124.0,[1]
54,5.181.76.56,784,759.001,83.998,[1]
55,132.145.51.148,784,879.0,84.0,[1]
56,5.181.76.56,784,620.994,86.007,[1]
57,132.145.51.148,784,692.998,85.965,[1]
58,94.140.14.140,784,662.999,147.999,[1]
59,94.140.14.140,784,630.001,98.0,[1]
60,94.140.14.140,8853,621.998,99.0,[1]
61,94.140.14.140,8853,677.001,108.999,[1]
62,94.140.14.140,853,610.998,93.001,[1]
63,94.140.14.140,853,618.994,95.001,[1]
64,138.2.79.123,784,756.999,251.944,[1]
65,138.2.79.123,784,843.001,250.0,[1]
66,129.154.52.68,784,741.0,237.996,[1]
67,129.154.52.68,784,755.999,237.992,[1]
68,217.160.172.238,784,725.999,103.004,[1]
69,217.160.172.238,784,822.002,97.001,[1]
70,146.56.176.39,784,721.997,203.987,[1]
71,146.56.176.39,784,734.995,204.0,[1]
72,178.18.54.141,784,743.998,101.003,[1]
73,178.18.54.141,784,648.998,145.001,[1]
74,129.151.170.218,784,774.998,256.034,[1]
75,129.151.170.218,784,769.998,256.037,[1]
76,172.105.16.134,784,701.997,37.998,[1]
77,172.105.16.134,784,656.0,38.997,[1]
78,188.68.45.12,784,747.999,103.997,[1]
79,188.68.45.12,784,770.004,104.998,[1]
80,23.94.216.128,784,706.999,102.0,[1]
81,23.94.216.128,784,614.0,114.002,[1]
82,106.12.119.30,784,349.0,225.999,[1]
83,106.12.119.30,784,851.999,244.039,[1]
84,140.238.65.73,784,681.012,87.999,[1]
85,140.238.65.73,784,683.961,82.0,[1]
86,139.59.232.4,784,36.996,268.001,[1]
87,139.59.232.4,784,37.254,262.002,[1]
88,37.114.37.199,784,817.0,141.996,[1]
89,37.114.37.199,784,748.0,101.998,[1]
90,132.145.51.148,784,708.994,88.999,[1]
91,132.145.51.148,784,740.0,99.0,[1]
92,5.181.76.56,784,747.002,105.999,[1]
