ip,port,protocol,q_ui_c_handshake_duration,q_ui_c_negotiated_protocol,q_ui_c_used0_rtt,q_ui_c_error,http_version,query_time,total_time,r_code,response_ip,response_ttl,error,vp
178.18.54.141,784,quic,213495318,doq-i03,0,,,201047185,414579851,0,67.225.146.248,2018,,singapore
178.18.54.141,784,quic,844052,doq-i03,1,,,201241874,405332433,0,67.225.146.248,2016,,singapore
129.151.170.218,784,quic,315676171,doq-i03,0,,,313050502,628765142,0,67.225.146.248,3582,,singapore
129.151.170.218,784,quic,315122397,doq-i03,0,,,313032992,628227383,0,67.225.146.248,3579,,singapore
172.105.16.134,784,quic,685957917,doq-i03,0,,,247098860,933090244,0,67.225.146.248,2647,,singapore
172.105.16.134,784,quic,245692989,doq-i03,0,,,242010859,487735635,0,67.225.146.248,2645,,singapore
45.76.144.127,784,quic,26921219,doq-i02,0,,,1813377,28874046,0,67.225.146.248,1613,,singapore
45.76.144.127,784,quic,3790982,doq-i02,0,,,1588488,5418286,0,67.225.146.248,1611,,singapore
188.68.45.12,784,quic,338212962,doq-i03,0,,,162825443,501070321,0,67.225.146.248,3584,,singapore
188.68.45.12,784,quic,778146,doq-i03,1,,,163937404,328470909,0,67.225.146.248,3583,,singapore
23.94.216.128,784,quic,394822709,doq-i03,0,,,194203988,589066936,0,67.225.146.248,3584,,singapore
23.94.216.128,784,quic,683719,doq-i03,1,,,195324187,392353773,0,67.225.146.248,3582,,singapore
106.12.119.30,784,quic,200861725,doq-i03,0,,,196703952,397627623,0,0.0.0.0,584,,singapore
106.12.119.30,784,quic,929334,doq-i03,1,,,188400143,387248965,0,0.0.0.0,582,,singapore
140.238.65.73,784,quic,467203802,doq-i03,0,,,231221932,698462665,0,67.225.146.248,2066,,singapore
140.238.65.73,784,quic,887955,doq-i03,1,,,231029141,464371925,0,67.225.146.248,2064,,singapore
139.59.232.4,784,quic,13320504,doq-i03,0,,,2354821,15705354,3,,,,singapore
139.59.232.4,784,quic,908637,doq-i03,1,,,1926367,6325773,3,,,,singapore
37.114.37.199,784,quic,394184384,doq-i03,0,,,188751385,582970814,0,67.225.146.248,59,,singapore
37.114.37.199,784,quic,838744,doq-i03,1,,,188232455,379632088,0,67.225.146.248,57,,singapore
3.0.86.126,784,quic,23197702,doq-i03,0,,,1295773,24530499,0,67.225.146.248,2655,,singapore
3.0.86.126,784,quic,3301688,doq-i03,0,,,1380022,4737282,0,67.225.146.248,2654,,singapore
3.0.86.126,853,quic,16505619,doq-i03,0,,,2176219,18747832,0,67.225.146.248,2649,,singapore
3.0.86.126,853,quic,5603268,doq-i03,0,,,1937088,7578602,0,67.225.146.248,2648,,singapore
132.145.51.148,784,quic,466572003,doq-i03,0,,,230484494,697086978,0,67.225.146.248,2647,,singapore
132.145.51.148,784,quic,725636,doq-i03,1,,,230600730,463302604,0,67.225.146.248,2645,,singapore
5.181.76.56,784,quic,216559980,doq-i03,0,,,209445402,426036683,0,67.225.146.248,3509,,singapore
5.181.76.56,784,quic,846827,doq-i03,1,,,209041601,420430418,0,67.225.146.248,3507,,singapore
94.140.14.140,784,quic,7603221,doq-i03,0,,,2699862,10357737,0,67.225.146.248,2292,,singapore
94.140.14.140,784,quic,4604193,doq-i03,0,,,2569241,7225080,0,67.225.146.248,2291,,singapore
94.140.14.140,8853,quic,7302050,doq-i03,0,,,2710736,10047403,0,67.225.146.248,2289,,singapore
45.66.130.62,784,quic,277129759,doq-i02,0,,,69892577,347086138,0,67.225.146.248,1772,,singapore
94.140.14.140,8853,quic,4055940,doq-i03,0,,,3156415,7247503,0,67.225.146.248,2287,,singapore
45.66.130.62,784,quic,70327911,doq-i02,0,,,68197326,138563758,0,67.225.146.248,1770,,singapore
94.140.14.140,853,quic,7412260,doq-i03,0,,,2444339,9918639,0,67.225.146.248,2286,,singapore
94.140.14.140,853,quic,54981089,doq-i03,0,,,37943543,92959157,0,67.225.146.248,2285,,singapore
41.21.230.0,784,quic,1211677629,doq-i02,0,,,336995271,1548707007,0,67.225.146.248,1475,,singapore
41.21.230.0,784,quic,338754134,doq-i02,0,,,336447506,675242001,0,67.225.146.248,1473,,singapore
64.112.126.239,784,quic,634068581,doq-i02,0,,,209760450,843867114,0,67.225.146.248,2326,,singapore
138.2.79.123,784,quic,8878739,doq-i03,0,,,2459299,11375779,0,67.225.146.248,233,,singapore
