ip,port
202.70.73.157,784
202.70.64.5,784
85.8.68.2,784
66.163.11.82,784
18.231.171.133,784
77.215.250.170,784
176.118.193.96,784
61.161.1.45,784
173.210.104.162,784
252.17.46.61,784
12.21.63.210,784
18.132.67.178,784
187.32.66.129,784
162.159.200.123,784
154.16.180.218,784
74.122.122.10,784
191.19.18.80,784
89.96.28.61,784
252.17.49.58,784
24.112.120.135,784
185.190.80.195,784
185.190.80.197,784
185.190.80.198,784
187.12.165.10,784
13.51.156.53,784
194.208.51.96,784
61.161.179.37,784
12.32.158.82,784
18.192.103.224,784
15.168.13.190,784
12.230.23.130,784
52.88.120.172,784
192.168.99.100,784
12.91.120.238,784
88.129.170.2,784
184.190.28.10,784
173.195.48.82,784
193.150.34.2,784
162.39.233.173,784
187.72.156.241,784
50.222.42.226,784
24.173.51.195,784
208.73.203.122,784
35.183.47.245,784
50.172.21.129,784
80.50.63.114,784
182.237.20.70,784
70.62.20.226,784
252.17.43.61,784
201.159.71.20,784
98.174.102.164,784
61.208.209.4,784
92.118.39.41,784
45.134.144.70,784
252.17.42.61,784
185.94.111.1,784
216.59.72.114,784
70.23.57.243,784
81.43.221.134,784
104.218.70.248,784
35.90.85.212,784
217.138.201.114,784
96.10.137.67,784
12.218.7.220,784
5.10.152.162,784
163.172.25.50,784
103.104.28.105,784
165.225.96.92,784
12.55.18.210,784
212.55.254.137,784
3.248.228.0,784
5.10.152.174,784
71.29.0.230,784
184.71.20.118,784
74.103.213.146,784
252.17.39.61,784
217.157.243.250,784
196.12.32.82,784
50.227.121.38,784
176.31.83.186,784
74.213.18.50,784
77.240.187.24,784
50.227.247.226,784
18.134.160.254,784
124.225.4.81,784
66.76.178.127,784
93.66.134.219,784
170.238.117.164,784
12.55.18.198,784
50.223.148.166,784
50.223.181.70,784
45.67.217.181,784
13.57.219.181,784
124.110.50.63,784
89.21.196.58,784
103.162.229.196,784
103.162.229.70,784
24.169.108.222,784
77.231.144.144,784
208.124.233.186,784
13.214.168.232,784
189.85.15.7,784
189.148.155.163,784
200.183.72.3,784
54.215.115.21,784
103.78.123.211,784
167.248.133.136,784
164.90.245.136,784
50.174.26.59,784
199.21.177.132,784
13.214.203.236,784
252.17.35.61,784
162.159.200.1,784
171.6.25.152,784
184.184.125.9,784
213.166.71.156,784
200.143.95.22,784
165.225.96.85,784
38.35.176.101,784
252.17.28.58,784
192.208.244.18,784
68.169.177.37,784
18.202.197.220,784
149.14.89.162,784
69.135.117.253,784
50.219.71.162,784
202.44.45.26,784
162.211.48.134,784
213.121.174.106,784
104.129.207.2,784
82.64.132.71,784
66.113.66.106,784
64.4.231.195,784
24.97.114.34,784
38.242.12.100,784
217.125.90.53,784
104.218.83.248,784
101.50.233.225,784
252.17.24.58,784
50.224.184.146,784
216.14.227.22,784
80.28.223.137,784
174.138.181.170,784
94.140.209.102,784
50.75.54.158,784
66.168.35.98,784
93.107.1.15,784
12.28.175.123,784
252.17.31.61,784
80.19.205.130,784
104.143.72.18,784
74.56.220.10,784
200.169.92.2,784
79.125.86.203,784
50.75.35.246,784
18.138.242.75,784
12.170.109.154,784
252.17.30.61,784
89.255.142.182,784
113.161.125.86,784
174.79.16.242,784
252.17.20.58,784
168.138.150.126,784
201.20.36.4,784
14.143.187.170,784
213.136.110.70,784
43.140.205.57,784
15.152.47.239,784
202.100.25.162,784
71.172.107.186,784
252.17.18.58,784
143.198.32.206,784
3.99.182.229,784
207.229.168.249,784
72.130.147.240,784
80.65.55.26,784
98.13.166.153,784
252.17.16.58,784
174.99.250.151,784
103.210.232.38,784
194.204.19.129,784
107.191.142.58,784
81.213.157.160,784
198.233.153.218,784
252.17.27.61,784
199.107.160.138,784
103.123.108.197,784
205.189.58.82,784
185.17.82.24,784
216.83.154.34,784
134.122.42.163,784
165.225.96.124,784
252.17.26.61,784
217.11.34.48,784
27.153.49.25,784
58.185.223.142,784
129.146.43.245,784
12.97.88.66,784
50.217.153.79,784
50.174.145.9,784
71.175.19.86,784
201.206.221.99,784
58.247.132.42,784
206.109.110.52,784
67.71.235.195,784
85.194.118.50,784
170.238.117.160,784
252.17.24.61,784
185.43.245.164,784
2.50.22.64,784
98.190.155.51,784
13.37.252.40,784
173.219.117.158,784
192.241.206.144,784
201.140.160.190,784
64.250.236.186,784
64.250.236.187,784
64.250.236.188,784
64.250.236.189,784
64.250.236.190,784
84.41.110.3,784
233.17.144.232,784
200.169.82.194,784
252.17.252.57,784
84.43.84.9,784
159.89.108.152,784
201.140.160.193,784
94.146.45.250,784
252.17.250.57,784
12.246.27.22,784
202.189.239.74,784
184.149.17.7,784
68.70.36.62,784
67.78.140.50,784
201.23.74.170,784
62.154.226.42,784
84.39.115.99,784
207.250.244.18,784
50.169.148.124,784
2.57.122.176,784
218.47.130.158,784
252.17.247.57,784
64.150.69.86,784
200.6.190.66,784
58.96.19.166,784
50.168.33.74,784
210.100.131.252,784
207.188.83.82,784
80.229.211.153,784
74.84.96.134,784
13.229.152.195,784
5.204.103.228,784
178.21.252.249,784
42.200.48.225,784
193.22.134.142,784
13.233.91.33,784
35.180.85.50,784
13.40.52.132,784
64.111.45.2,784
185.9.30.70,784
252.17.243.57,784
202.130.162.118,784
129.153.219.77,784
252.17.17.61,784
74.200.44.140,784
174.64.36.215,784
200.169.82.130,784
18.140.245.186,784
213.26.7.18,784
82.71.187.29,784
252.17.16.61,784
71.75.81.139,784
18.191.127.231,784
84.17.22.200,784
52.192.222.117,784
212.41.209.138,784
207.144.173.197,784
104.129.207.12,784
252.17.15.61,784
187.50.105.26,784
131.255.102.10,784
216.104.101.178,784
200.169.82.66,784
202.68.91.46,784
13.40.116.163,784
200.10.224.147,784
187.150.26.162,784
122.228.91.243,784
173.95.223.58,784
185.55.107.37,784
50.238.9.82,784
15.168.11.65,784
14.0.34.176,784
163.171.124.69,784
185.216.71.183,784
14.0.36.75,784
163.171.126.100,784
252.17.236.57,784
93.188.135.58,784
210.65.162.160,784
12.55.14.186,784
138.113.93.225,784
14.0.39.168,784
93.188.134.140,784
138.113.75.165,784
138.113.88.124,784
103.254.191.166,784
14.0.35.118,784
202.191.99.171,784
14.0.62.111,784
45.64.22.204,784
61.132.231.224,784
45.124.125.39,784
138.113.67.237,784
148.253.48.128,784
138.113.78.97,784
93.188.133.213,784
138.113.76.238,784
163.171.242.81,784
163.171.125.102,784
163.171.243.133,784
163.171.113.244,784
202.179.139.195,784
163.171.96.130,784
163.171.99.217,784
66.114.53.162,784
138.113.89.139,784
163.171.237.109,784
163.171.209.201,784
163.171.244.214,784
163.171.240.155,784
118.123.235.211,784
252.17.13.61,784
148.253.50.107,784
120.39.212.150,784
111.206.105.244,784
14.0.119.212,784
212.40.5.200,784
163.171.233.229,784
74.143.125.2,784
193.112.106.216,784
2.50.130.123,784
90.158.201.191,784
119.31.251.170,784
14.0.48.203,784
163.171.83.169,784
174.35.74.34,784
89.238.187.18,784
88.157.206.90,784
66.57.137.150,784
15.168.11.81,784
93.188.132.202,784
64.197.202.129,784
3.26.220.48,784
252.17.12.61,784
185.125.190.58,784
59.100.222.94,784
51.91.141.137,784
106.107.205.89,784
93.92.163.236,784
64.69.103.226,784
14.0.37.95,784
31.121.11.13,784
62.241.143.125,784
71.184.217.205,784
13.214.166.59,784
163.171.153.21,784
252.17.10.61,784
213.32.85.185,784
189.199.231.130,784
54.207.195.179,784
163.171.243.61,784
12.189.104.72,784
78.187.75.98,784
94.146.7.106,784
23.244.8.42,784
90.88.30.244,784
252.17.9.61,784
13.57.59.237,784
163.171.228.170,784
174.79.20.197,784
117.211.201.170,784
199.36.195.211,784
50.201.51.250,784
50.174.148.89,784
24.49.97.154,784
163.171.230.112,784
71.6.165.200,784
252.17.215.57,784
200.169.86.194,784
139.146.158.202,784
83.236.210.1,784
64.85.170.114,784
186.96.176.200,784
208.115.243.59,784
212.45.26.117,784
252.17.6.61,784
41.165.27.178,784
80.154.123.194,784
199.119.245.130,784
217.33.28.34,784
3.34.191.222,784
54.193.109.5,784
202.70.65.114,784
201.116.126.167,784
5.32.109.250,784
68.179.69.201,784
12.190.83.226,784
165.232.86.200,784
146.59.207.74,784
12.44.84.37,784
223.255.149.126,784
88.22.71.41,784
222.129.185.115,784
206.246.2.166,784
212.126.162.50,784
66.46.124.154,784
64.33.188.154,784
54.219.235.99,784
74.142.75.114,784
212.147.99.196,784
88.147.15.92,784
139.5.114.174,784
79.142.55.129,784
79.142.53.154,784
76.80.155.94,784
93.104.195.254,784
107.189.12.236,784
50.228.27.130,784
41.77.155.42,784
50.217.226.47,784
204.13.35.217,784
102.39.16.194,784
27.254.225.17,784
252.17.255.60,784
69.10.59.238,784
98.118.52.40,784
213.155.178.97,784
79.77.48.241,784
74.9.206.210,784
137.118.185.77,784
87.127.206.162,784
119.28.180.81,784
198.202.20.218,784
50.221.68.47,784
252.17.254.60,784
45.142.192.10,784
104.244.118.167,784
194.44.31.50,784
67.202.216.195,784
194.78.2.194,784
190.155.203.138,784
104.129.206.172,784
67.203.145.98,784
201.93.156.40,784
62.24.57.30,784
59.124.204.93,784
144.34.200.57,784
252.17.191.57,784
15.207.116.100,784
189.250.21.192,784
82.204.136.214,784
3.96.210.5,784
197.161.67.99,784
38.98.68.250,784
89.10.113.85,784
137.226.113.10,784
189.204.234.201,784
142.112.83.192,784
13.208.247.157,784
50.169.41.94,784
69.36.162.234,784
124.190.1.10,784
65.255.135.137,784
24.229.113.41,784
96.23.239.39,784
187.32.136.1,784
67.59.100.16,784
252.17.185.57,784
165.225.96.82,784
65.121.177.42,784
252.17.248.60,784
136.226.53.2,784
252.17.184.57,784
50.221.104.16,784
198.110.144.80,784
70.62.78.142,784
80.120.130.231,784
252.17.182.57,784
252.17.180.57,784
78.154.121.61,784
13.40.116.43,784
174.127.184.34,784
64.138.192.5,784
252.17.245.60,784
88.247.184.105,784
114.23.206.8,784
50.207.132.18,784
182.119.205.182,784
180.157.248.74,784
180.151.74.226,784
74.124.188.88,784
209.159.158.114,784
200.169.87.2,784
184.190.29.2,784
94.250.231.130,784
50.169.31.186,784
177.159.202.162,784
107.144.94.130,784
24.203.54.151,784
50.207.187.135,784
202.130.127.86,784
207.190.211.34,784
13.51.233.153,784
110.42.144.43,784
13.208.213.252,784
196.1.161.221,784
212.210.38.90,784
60.36.181.160,784
252.17.175.57,784
63.254.158.120,784
78.32.186.11,784
125.236.206.198,784
106.105.121.48,784
178.174.197.254,784
107.175.142.142,784
72.12.85.101,784
210.17.172.50,784
18.132.59.85,784
108.55.197.140,784
64.183.18.154,784
212.89.17.1,784
69.135.115.75,784
206.255.251.212,784
93.45.13.20,784
70.103.201.90,784
